ds,yhat,yhat_lower,yhat_upper
2025-04-01,1121.6631588512648,353.24242691839856,1890.0838907841312
2025-04-02,1362.3378491175995,584.775365184065,2139.900333051134
2025-04-03,1196.1838483714093,418.6267732895842,1973.7409234532345
2025-04-04,1302.5540954241656,524.5582969837646,2080.5498938645665
2025-04-05,1857.764858026902,1079.6743994267356,2635.8553166270685
2025-04-06,1933.7297063547023,1155.2793040779675,2712.180108631437
2025-04-07,1195.0883311488205,416.5552844198645,1973.6213778777765
2025-04-08,1414.464740487312,635.223004696152,2193.706476278472
2025-04-09,1261.6379701134365,482.3536330011257,2040.9223072257473
2025-04-10,1312.8898641097276,533.3290119864229,2092.4507162330324
2025-04-11,1189.8572322123846,410.25529028867516,1969.4591741360941
2025-04-12,1958.7722019423322,1178.9248760023297,2738.6195278823348
2025-04-13,1817.337940730354,1037.456711242005,2597.219170218703
2025-04-14,1243.6052475862143,463.49618676472573,2023.714308407703
2025-04-15,1303.1682089513338,522.690559156688,2083.6458587459797
2025-04-16,1347.8839078563892,567.0653814357148,2128.7024342770637
2025-04-17,1212.8816478431384,432.05656866933236,1993.7067270169443
2025-04-18,1270.3533846135274,489.3197092587544,2051.3870599683005
2025-04-19,1865.092019883728,1084.0550729038173,2646.1289668636387
2025-04-20,1892.2540843459649,1111.024459364399,2673.483709327531
2025-04-21,1156.9036502477734,375.66969695929413,1938.1376035362528
2025-04-22,1372.6333826880257,589.8968988189773,2155.369866557074
2025-04-23,1265.24136226177,482.5205041699287,2047.9622203536114
2025-04-24,1277.073297413709,494.21017016271946,2059.9364246646987
2025-04-25,1192.6600494623808,409.8118700223499,1975.5082289024117
2025-04-26,1924.479924040208,1141.510056668415,2707.449791412001
2025-04-27,1819.1869505849338,1036.2288723299575,2602.14502883991
2025-04-28,1211.7768330399254,428.70012039005314,1994.8535456897976
2025-04-29,1303.891748833752,520.2659557716412,2087.517541895863
2025-04-30,1315.9694891086701,532.1316552865276,2099.807322930813
